File;Reference;Hypothesis;subs;dels;inserts;corrects;wer;wcr;precision;recall;fScore
mail_male_gustav.wav; He found a mountain of mail waiting for him. Many women earn less than their male colleagues.;many women earn less than their male colleagues ;1.0;10.0;0.0;7.0;0.6111111111111112;0.3888888888888889;0.3333333333333333;0.75;0.46153846153846156
mail_male_ronald.wav; He found a mountain of mail waiting for him. Many women earn less than their male colleagues.;he found a mountain of mail waiting for him ;1.0;9.0;0.0;8.0;0.5555555555555556;0.4444444444444444;0.3888888888888889;0.7777777777777778;0.5185185185185185
mail_male_vincent.wav; He found a mountain of mail waiting for him. Many women earn less than their male colleagues.;he found a mountain of mail waiting for ;0.0;10.0;0.0;8.0;0.5555555555555556;0.4444444444444444;0.3888888888888889;0.875;0.5384615384615385
fort_fight_gustav.wav; Just the three of you are going to be holding the fort tonight. He fought many battles with the early Labor party in Lancaster and discrimination against socialist employees was alleged.;so just the three of you are going to be holding the fortune I he fought many battles with the early labor party in Lancaster and the and discrimination against socialist employees but was alleged ;4.0;0.0;3.0;28.0;0.21875;0.875;0.78125;0.7714285714285715;0.7763082231167339
fort_fight_ronald.wav; Just the three of you are going to be holding the fort tonight. He fought many battles with the early Labor party in Lancaster and discrimination against socialist employees was alleged.;just the three of you are going to be holding for tonight ;2.0;20.0;0.0;10.0;0.6875;0.3125;0.34375;0.75;0.4714285714285714
fort_fight_vincent.wav; Just the three of you are going to be holding the fort tonight. He fought many battles with the early Labor party in Lancaster and discrimination against socialist employees was alleged.;just the three of you are going to be holding the force tonight ;2.0;19.0;0.0;11.0;0.65625;0.34375;0.34375;0.7692307692307693;0.47516198704103674
weak_week_gustav.wav; She is still weak after her illness. He comes to see us once a week. ;she still weak after illness he comes to see us once a week ;2.0;3.0;0.0;11.0;0.3125;0.6875;0.5625;0.6923076923076923;0.6206896551724138
weak_week_ronald.wav; She is still weak after her illness. He comes to see us once a week. ;she is still weak after us ;0.0;10.0;0.0;6.0;0.625;0.375;0.3125;0.8333333333333334;0.45454545454545453
weak_week_vincent.wav; She is still weak after her illness. He comes to see us once a week. ;the fourth many battles with early labor party in Lancaster and discrimination against socialist employees was alleged ;16.0;0.0;1.0;0.0;1.0625;0.0;0.0;0.0;NaN
dear_deer_gustav.wav; She's such a dear friend. The deer ate all the lettuce in the garden. ;she's such a dear friend the deer ate all the letters in the garden ;3.0;1.0;0.0;11.0;0.26666666666666666;0.7333333333333333;0.6;0.7142857142857143;0.6521739130434783
